Form Name,Section,Subsection,Question,Answer Type,Expected Data Element,Business Definition
Form ADV,Item 6,6.A(8),trust company,Checkbox,Trust Company [Yes/No],Indicates whether the firm is actively engaged as a trust company.
Form ADV,Item 6,6.A(9),registered municipal advisor,Checkbox,Municipal Advisor [Yes/No],Indicates whether the firm is actively engaged as a registered municipal advisor.
Form ADV,Item 6,6.A(10),registered security-based swap dealer,Checkbox,Security-Based Swap Dealer [Yes/No],Indicates whether the firm is actively engaged as a registered security-based swap dealer.
Form ADV,Item 6,6.A(11),major security-based swap participant,Checkbox,Major Security-Based Swap Participant [Yes/No],Indicates whether the firm is actively engaged as a major security-based swap participant.
Form ADV,Item 6,6.A(12),accountant or accounting firm,Checkbox,Accountant/Accounting Firm [Yes/No],Indicates whether the firm is actively engaged as an accountant or accounting firm.
Form ADV,Item 6,6.A(13),lawyer or law firm,Checkbox,Lawyer/Law Firm [Yes/No],Indicates whether the firm is actively engaged as a lawyer or law firm.
Form ADV,Item 6,6.A(14),other financial product salesperson (specify):,"Checkbox, Text","Other Financial Product Salesperson [Yes/No], Specify Sales Activity","Indicates whether the firm is actively engaged as another type of financial product salesperson, with specifics."
Form ADV,Item 6,6.A.Detail,"If you engage in other business using a name that is different from the names reported in Items 1.A. or 1.B.(1), complete Section 6.A. of Schedule D.","Text, Text","Different Business Name [Yes/No], Other Business Name, Business Activity","Indicates whether the firm uses a different name for other business activities, specifying the alternative name and business activity."
Form ADV,Item 6,6.B(1),Are you actively engaged in any other business not listed in Item 6.A. (other than giving investment advice)? (Yes/No),Checkbox,Other Business Activities [Yes/No],"Indicates whether the firm is actively engaged in other business activities not listed above, excluding investment advice."
Form ADV,Item 6,6.B(2),"If yes, is this other business your primary business? (Yes/No)",Checkbox,Primary Other Business [Yes/No],Indicates whether this other business activity is the firm’s primary business.
Form ADV,Item 6,6.B(2).Detail,"If 'yes,' describe this other business on Section 6.B.(2) of Schedule D, and if you engage in this business under a different name, provide that name.","Text, Text","Primary Business Description, Other Business Name","Description and, if applicable, name under which the firm engages in its primary business activity other than investment advice."
Form ADV,Item 6,6.B(3),Do you sell products or provide services other than investment advice to your advisory clients? (Yes/No),Checkbox,Sell Non-Advisory Products/Services [Yes/No],Indicates whether the firm sells products or services other than investment advice to its advisory clients.
Form ADV,Item 6,6.B(3).Detail,"If 'yes,' describe this other business on Section 6.B.(3) of Schedule D, and if you engage in this business under a different name, provide that name.","Text, Text","Other Products/Services Description, Different Business Name","Description of other products or services provided, and if applicable, the name used for these business activities."
Form ADV,Item 7,7.A,"This part of Item 7 requires you to provide information about you and your related persons, including foreign affiliates. Your related persons are all of your advisory affiliates and any person that is under common control with you.",Checkbox,,
Form ADV,Item 7,7.A.Detail,You have a related person that is a (check all that apply):,,Related Person Activities [Multiple Values],Types of activities engaged in by related persons or entities under common control.
Form ADV,Item 7,7.A(1),"broker-dealer, municipal securities dealer, or government securities broker or dealer (registered or unregistered)",Checkbox,Related Person Broker-Dealer [Yes/No],"Indicates whether the related person is a broker-dealer, municipal securities dealer, or government securities broker or dealer, regardless of registration status."
Form ADV,Item 7,7.A(2),other investment adviser (including financial planners),Checkbox,Related Person Investment Adviser [Yes/No],"Indicates whether the related person is another investment adviser, including financial planners."
Form ADV,Item 7,7.A(3),registered municipal advisor,Checkbox,Related Person Municipal Advisor [Yes/No],Indicates whether the related person is a registered municipal advisor.
Form ADV,Item 7,7.A(4),registered security-based swap dealer,Checkbox,Related Person Security-Based Swap Dealer [Yes/No],Indicates whether the related person is a registered security-based swap dealer.
Form ADV,Item 7,7.A(5),major security-based swap participant,Checkbox,Related Person Security-Based Swap Participant [Yes/No],Indicates whether the related person is a major security-based swap participant.
Form ADV,Item 7,7.A(6),commodity pool operator or commodity trading advisor (whether registered or exempt from registration),Checkbox,Related Person Commodity Pool Operator/Advisor [Yes/No],"Indicates whether the related person is a commodity pool operator or commodity trading advisor, regardless of registration status."
Form ADV,Item 7,7.A(7),futures commission merchant,Checkbox,Related Person Futures Commission Merchant [Yes/No],Indicates whether the related person is a futures commission merchant.
Form ADV,Item 7,7.A(8),banking or thrift institution,Checkbox,Related Person Banking or Thrift Institution [Yes/No],Indicates whether the related person is a banking or thrift institution.
Form ADV,Item 7,7.A(9),trust company,Checkbox,Related Person Trust Company [Yes/No],Indicates whether the related person is a trust company.
Form ADV,Item 7,7.A(10),accountant or accounting firm,Checkbox,Related Person Accounting Firm [Yes/No],Indicates whether the related person is an accountant or accounting firm.
Form ADV,Item 7,7.A(11),lawyer or law firm,Checkbox,Related Person Lawyer/Law Firm [Yes/No],Indicates whether the related person is a lawyer or law firm.
Form ADV,Item 7,7.A(12),insurance company or agency,Checkbox,Related Person Insurance Company/Agency [Yes/No],Indicates whether the related person is an insurance company or agency.
Form ADV,Item 7,7.A(13),pension consultant,Checkbox,Related Person Pension Consultant [Yes/No],Indicates whether the related person is a pension consultant.
Form ADV,Item 7,7.A(14),real estate broker or dealer,Checkbox,Related Person Real Estate Broker/Dealer [Yes/No],Indicates whether the related person is a real estate broker or dealer.
Form ADV,Item 7,7.A(15),"sponsor or syndicator of limited partnerships (or equivalent), excluding pooled investment vehicles",Checkbox,Related Person Sponsor/Syndicator [Yes/No],"Indicates whether the related person is a sponsor or syndicator of limited partnerships or equivalent, excluding pooled investment vehicles."
Form ADV,Item 7,7.A(16),"sponsor, general partner, managing member (or equivalent) of pooled investment vehicles",Checkbox,Related Person Sponsor/General Partner [Yes/No],"Indicates whether the related person is a sponsor, general partner, or managing member of pooled investment vehicles."
Form ADV,Item 7,7.B,Are you an adviser to any private fund? (Yes/No),Checkbox,Adviser to Private Fund [Yes/No],Indicates whether the firm advises any private funds.
Form ADV,Item 8,8.A,Do you or any related person: (Yes/No),Checkbox,Proprietary Interest in Client Transactions [Yes/No],Indicates if the adviser or related persons have proprietary interests in client transactions.
Form ADV,Item 8,8.A(1),"buy securities for yourself from advisory clients, or sell securities you own to advisory clients (principal transactions)?",Checkbox,Principal Transactions [Yes/No],"Indicates whether the adviser buys securities for themselves from advisory clients, or sells securities they own to advisory clients, known as principal transactions."
Form ADV,Item 8,8.A(2),buy or sell for yourself securities (other than shares of mutual funds) that you also recommend to advisory clients?,Checkbox,Personal Securities Transactions [Yes/No],Indicates whether the adviser buys or sells for themselves securities that they also recommend to advisory clients.
Form ADV,Item 8,8.A(3),recommend securities (or other investment products) to advisory clients in which you or any related person has some other proprietary (ownership) interest (other than those mentioned in Items 8.A.(1) or (2))?,Checkbox,Proprietary Interest Recommendations [Yes/No],Indicates whether the adviser recommends securities or other investment products in which the adviser or any related person has a proprietary interest.
Form ADV,Item 8,8.B,Do you or any related person: (Yes/No),Checkbox,Sales Interest in Client Transactions [Yes/No],Indicates if the adviser or related persons have sales interests in client transactions.
Form ADV,Item 8,8.B(1),"as a broker-dealer or registered representative of a broker-dealer, execute securities trades for brokerage customers in which advisory client securities are sold to or bought from the brokerage customer (agency cross transactions)?",Checkbox,Agency Cross Transactions [Yes/No],"Indicates whether the adviser, as a broker-dealer or registered representative, executes securities trades for brokerage customers in which advisory client securities are involved."
Form ADV,Item 8,8.B(2),"recommend to advisory clients, or act as a purchaser representative for advisory clients with respect to, the purchase of securities for which you or any related person serves as underwriter or general or managing partner?",Checkbox,Underwriter/General Partner Recommendations [Yes/No],Indicates whether the adviser recommends or acts on behalf of advisory clients to purchase securities for which the adviser or related persons serve as underwriter/managing partner.
Form ADV,Item 8,8.B(3),recommend purchase or sale of securities to advisory clients for which you or any related person has any other sales interest (other than the receipt of sales commissions as a broker or registered representative of a broker-dealer)?,Checkbox,Sales Interest Recommendations [Yes/No],Indicates whether the adviser recommends the purchase or sale of securities to advisory clients where there is another sales interest besides receiving sales commissions.
Form ADV,Item 8,8.C,Do you or any related person have discretionary authority to determine the: (Yes/No),Checkbox,Discretionary Authority on Client Transactions [Yes/No],Indicates if the adviser or related persons have discretionary authority over specifying client transactions.
Form ADV,Item 8,8.C(1),securities to be bought or sold for a client's account?,Checkbox,Discretionary Authority on Securities [Yes/No],Indicates if the adviser or related persons possess discretionary authority to decide which securities are bought or sold for client accounts.
Form ADV,Item 8,8.C(2),amount of securities to be bought or sold for a client's account?,Checkbox,Discretionary Authority on Amounts [Yes/No],Indicates if the adviser or related persons have discretionary power to determine the quantity of securities bought or sold for client accounts.
Form ADV,Item 8,8.C(3),broker or dealer to be used for a purchase or sale of securities for a client's account?,Checkbox,Discretionary Broker/Dealer Selection [Yes/No],Indicates if the adviser or related persons hold discretionary authority to select the broker or dealer for client securities transactions.
Form ADV,Item 8,8.C(4),commission rates to be paid to a broker or dealer for a client's securities transactions?,Checkbox,Discretionary Commission Rates [Yes/No],Indicates if the adviser or related persons exercise discretionary authority regarding commission rates paid to brokers or dealers for client transactions.
Form ADV,Item 8,8.D,"If you answer 'yes' to Item 8.C.(3), are any of the brokers or dealers related persons? (Yes/No)",Checkbox,Related Broker/Dealer Selection [Yes/No],Indicates whether brokers or dealers selected with discretionary authority are related persons.
Form ADV,Item 8,8.E,Do you or any related person recommend brokers or dealers to clients? (Yes/No),Checkbox,Broker/Dealer Recommendations [Yes/No],Indicates whether the adviser or related persons recommend brokers or dealers to clients.
Form ADV,Item 8,8.F,"If you answer 'yes' to Item 8.E, are any of the brokers or dealers related persons? (Yes/No)",Checkbox,Related Broker/Dealer Recommendations [Yes/No],Indicates whether the recommended brokers or dealers include related persons.
Form ADV,Item 8,8.G,Do you or any related person receive research or other products or services other than execution from a broker-dealer or a third party ('soft dollar benefits') in connection with client securities transactions? (Yes/No),Checkbox,Receipt of Soft Dollar Benefits [Yes/No],Indicates whether the adviser or related persons receive research or other services aside from execution (soft dollar benefits) from broker-dealers or third parties.
Form ADV,Item 8,8.G(2),"If 'yes' to Item 8.G(1), are all the 'soft dollar benefits' you or any related persons receive eligible 'research or brokerage services' under section 28(e) of the Securities Exchange Act of 1934? (Yes/No)",Checkbox,Eligible Soft Dollar Benefits [Yes/No],"Indicates whether the ""soft dollar benefits"" received are eligible ""research or brokerage services"" as defined by section 28(e) of the Securities Exchange Act of 1934."
Form ADV,Item 8,8.H(1),"Do you or any related person, directly or indirectly, compensate any person that is not an employee for client referrals? (Yes/No)",Checkbox,Compensation for Client Referrals [Yes/No],Indicates whether the adviser or any related person provides compensation to any non-employee for client referrals.
Form ADV,Item 8,8.H(2),"Do you or any related person, directly or indirectly, provide any employee compensation that is specifically related to obtaining clients for the firm (cash or non-cash compensation in addition to the employee's regular salary)? (Yes/No)",Checkbox,Employee Compensation for Obtaining Clients [Yes/No],Indicates whether the adviser or related persons provide additional compensation to employees specifically for obtaining clients for the firm.
Form ADV,Item 8,8.I,"Do you or any related person, including any employee, directly or indirectly, receive compensation from any person (other than you or any related person) for client referrals? (Yes/No)",Checkbox,Compensation from Client Referrals [Yes/No],"Indicates whether the adviser or any related person, including employees, receives compensation from any person other than the adviser or related persons for client referrals."
Form ADV,Item 8,8.I.Detail,"In your response to Item 8.I., do not include the regular salary you pay to an employee.",Instruction Text,Exclude Regular Salary [Yes/No],Indicates that the response should exclude the regular salary paid to an employee when considering compensation from client referrals.
Form ADV,Item 8,8.H/I.Detail,"In responding to Items 8.H and 8.I, consider all cash and non-cash compensation that you or a related person gave to (in answering Item 8.H.) or received from (in answering Item 8.I.) any person in exchange for client referrals, including any bonus that is based, at least in part, on the number or amount of client referrals.",Instruction Text,Referrals Compensation Consideration,"Indicates that responses to Items 8.H and 8.I should include all forms of cash and non-cash compensation related to client referrals, including bonuses."
Form ADV,Item 9,9.A,Do you have custody of any advisory clients': (Yes/No),Checkbox,Adviser Custody of Client Assets [Yes/No],Indicates whether the adviser has custody of any advisory clients' assets.
Form ADV,Item 9,9.A(1)(a),cash or bank accounts?,Checkbox,Custody of Cash or Bank Accounts [Yes/No],Indicates whether the adviser has custody of clients' cash or bank accounts.
Form ADV,Item 9,9.A(1)(b),securities?,Checkbox,Custody of Securities [Yes/No],Indicates whether the adviser has custody of clients' securities.
Form ADV,Item 9,9.A(2),"If you checked 'yes' to Item 9.A(1)(a) or (b), what is the approximate amount of client funds and securities and the total number of clients for which you have custody:",,,
Form ADV,Item 9,9.A(2)(a),U.S. Dollar Amount,Currency,Custody Amount – Client Funds and Securities ($),The approximate amount of client funds and securities in U.S. dollars for which the adviser has custody.
Form ADV,Item 9,9.A(2)(b),Total Number of Clients,Number,Custody – Total Number of Clients,The total number of clients for which the adviser has custody of client funds and securities.
Form ADV,Item 9,9.B,"In connection with advisory services you provide to clients, do any of your related persons have custody of any of your advisory clients': (Yes/No)",Checkbox,Related Persons Custody of Client Assets [Yes/No],Indicates whether related persons have custody of any advisory clients' assets in connection with advisory services.
Form ADV,Item 9,9.B(1)(a),cash or bank accounts?,Checkbox,Related Persons Custody of Cash or Bank Accounts [Yes/No],Indicates whether related persons have custody of clients' cash or bank accounts.
Form ADV,Item 9,9.B(1)(b),securities?,Checkbox,Related Persons Custody of Securities [Yes/No],Indicates whether related persons have custody of clients' securities.
Form ADV,Item 9,9.B(2),"If you checked 'yes' to Item 9.B(1)(a) or (b), what is the approximate amount of client funds and securities and the total number of clients for which your related persons have custody:",,,
Form ADV,Item 9,9.B(2)(a),U.S. Dollar Amount,Currency,Related Persons Custody Amount ($),The approximate amount of client funds and securities in U.S. dollars for which related persons have custody.
Form ADV,Item 9,9.B(2)(b),Total Number of Clients,Number,Related Persons Custody – Total Number of Clients,The total number of clients for which related persons have custody of client funds and securities.
Form ADV,Item 9,9.C,"If you or your related persons have custody of client funds or securities in connection with advisory services you provide to clients, check all the following that apply:",Checkbox,Custody Arrangements [Multiple Values],Indicates the applicable custody arrangements if the adviser or related persons have custody of client funds or securities.
Form ADV,Item 9,9.C(1),A qualified custodian(s) sends account statements at least quarterly to the investors in the pooled investment vehicle(s) you manage.,Checkbox,Qualified Custodian Sends Account Statements [Yes/No],Indicates whether a qualified custodian sends account statements at least quarterly to the investors in the pooled investment vehicle(s) managed by the adviser.
Form ADV,Item 9,9.C(2),An independent public accountant audits annually the pooled investment vehicle(s) that you manage and the audited financial statements are distributed to the investors in the pools.,Checkbox,Annual Audit by Independent Public Accountant [Yes/No],Indicates whether an independent public accountant audits the pooled investment vehicle(s) annually and distributes the audited financial statements to the investors.
Form ADV,Item 9,9.C(3),An independent public accountant conducts an annual surprise examination of client funds and securities.,Checkbox,Annual Surprise Examination [Yes/No],Indicates whether an independent public accountant conducts an annual surprise examination of client funds and securities.
Form ADV,Item 9,9.C(4),An independent public accountant prepares an internal control report with respect to custodial services when you or your related persons are qualified custodians for client funds and securities.,Checkbox,Internal Control Report [Yes/No],Indicates whether an independent public accountant prepares an internal control report concerning custodial services when you or related persons are qualified custodians.
Form ADV,Item 9,9.D,Do you or your related person(s) act as qualified custodians for your clients in connection with advisory services you provide to clients? (Yes/No),Checkbox,Acting as Qualified Custodians [Yes/No],Indicates whether the adviser or related persons act as qualified custodians for clients in connection with advisory services.
Form ADV,Item 9,9.D(1),you act as a qualified custodian,Checkbox,Adviser Acts as Qualified Custodian [Yes/No],Indicates whether the adviser acts as a qualified custodian.
Form ADV,Item 9,9.D(2),your related person(s) act as qualified custodian(s),Checkbox,Related Persons Act as Qualified Custodian [Yes/No],Indicates whether related persons act as qualified custodians.
Form ADV,Item 9,9.E,"If you are filing your annual updating amendment and you were subject to a surprise examination by an independent public accountant during your last fiscal year, provide the date (MM/YYYY) the examination commenced:",Date,Date Surprise Examination Commenced (MM/YYYY),The date (month and year) when the surprise examination by an independent public accountant commenced.
Form ADV,Item 9,9.F,"If you or your related persons have custody of client funds or securities, how many persons, including, but not limited to, you and your related persons, act as qualified custodians for your clients in connection with advisory services you provide to clients?",Number,Number of Qualified Custodians,"The total number of persons, including the adviser and related persons, acting as qualified custodians for clients in connection with advisory services."
Form ADV,Item 10,10.A,"Does any person not named in Item 1.A. or Schedules A, B, or C, directly or indirectly, control your management or policies? (Yes/No)",Checkbox,External Control of Management/Policies [Yes/No],Indicates whether any person not already listed directly or indirectly controls the management or policies of the adviser.
Form ADV,Item 10,10.A.Detail,"If yes, complete Section 10.A. of Schedule D.",Instruction Text,Complete Section 10.A. [Yes/No],Instruction to complete Section 10.A. of Schedule D if there is external control of management or policies.
Form ADV,Item 10,10.B,"If any person named in Schedules A, B, or C or in Section 10.A. of Schedule D is a public reporting company under Sections 12 or 15(d) of the Securities Exchange Act of 1934, please complete Section 10.B. of Schedule D.",Checkbox,Public Reporting Company [Yes/No],"Indicates whether any person listed in Schedules A, B, or C, or Section 10.A. of Schedule D, is a public reporting company under Sections 12 or 15(d) of the Securities Exchange Act of 1934."
Form ADV,Item 11,11,Do any of the events below involve you or any of your supervised persons? (Yes/No),Checkbox,Involvement in Specified Events [Yes/No],Indicates whether the adviser or any supervised persons are involved in any specified regulatory or legal events.
Form ADV,Item 11,11.A,"In the past ten years, have you or any advisory affiliate:",,,
Form ADV,Item 11,11.A(1),"been convicted of or pled guilty or nolo contendere ('no contest') in a domestic, foreign, or military court to any felony?",Checkbox,Convicted/Pled Guilty to Felony [Yes/No],Indicates whether the adviser or any advisory affiliate has been convicted of or pled guilty or nolo contendere ('no contest') to any felony.
Form ADV,Item 11,11.A(2),been charged with any felony?,Checkbox,Charged with Felony [Yes/No],Indicates whether the adviser or any advisory affiliate has been charged with any felony.
Form ADV,Item 11,11.B,"In the past ten years, have you or any advisory affiliate:",,,
Form ADV,Item 11,11.B(1),"been convicted of or pled guilty or nolo contendere ('no contest') in a domestic, foreign, or military court to a misdemeanor involving: investments or an investment-related business, or any fraud, false statements, or omissions, wrongful taking of property, bribery, perjury, forgery, counterfeiting, extortion, or a conspiracy to commit any of these offenses?",Checkbox,Misdemeanor Involving Specified Offense [Yes/No],Indicates whether the adviser or any advisory affiliate has been convicted of or pled guilty or nolo contendere to a misdemeanor involving specified offenses.
Form ADV,Item 11,11.B(2),been charged with a misdemeanor listed in Item 11.B.(1)?,Checkbox,Charged with Specified Misdemeanor [Yes/No],Indicates whether the adviser or any advisory affiliate has been charged with a specified misdemeanor.
Form ADV,Item 11,11.C,Has the SEC or the Commodity Futures Trading Commission (CFTC) ever:,,,
Form ADV,Item 11,11.C(1),found you or any advisory affiliate to have made a false statement or omission?,Checkbox,Found False Statement/Omission by SEC/CFTC [Yes/No],Indicates whether the SEC or CFTC has found the adviser or any advisory affiliate to have made a false statement or omission.
Form ADV,Item 11,11.C(2),found you or any advisory affiliate to have been involved in a violation of SEC or CFTC regulations or statutes?,Checkbox,Violation of SEC/CFTC Regulations [Yes/No],Indicates whether the adviser or any advisory affiliate has been found to be involved in a violation of SEC or CFTC regulations or statutes.
Form ADV,Item 11,11.C(3),"found you or any advisory affiliate to have been a cause of an investment-related business having its authorization to do business denied, suspended, revoked, or restricted?",Checkbox,Cause of Business Denial by SEC/CFTC [Yes/No],"Indicates whether the adviser or any advisory affiliate has been a cause of an investment-related business having its authorization to do business denied, suspended, revoked, or restricted by the SEC or CFTC."
Form ADV,Item 11,11.C(4),entered an order against you or any advisory affiliate in connection with investment-related activity?,Checkbox,SEC/CFTC Order [Yes/No],Indicates whether the SEC or CFTC has entered an order against the adviser or any advisory affiliate in connection with investment-related activity.
Form ADV,Item 11,11.C(5),"imposed a civil money penalty on you or any advisory affiliate, or ordered you or any advisory affiliate to cease and desist from any activity?",Checkbox,Civil Money Penalty/Cease and Desist by SEC/CFTC [Yes/No],Indicates whether the SEC or CFTC has imposed a civil money penalty or ordered a cease and desist from any activity on the adviser or any advisory affiliate.
Form ADV,Item 11,11.D,"Has any other federal regulatory agency, any state regulatory agency, or any foreign financial regulatory authority:",,,
Form ADV,Item 11,11.D(1),"ever found you or any advisory affiliate to have made a false statement or omission, or been dishonest, unfair, or unethical?",Checkbox,Found False Statement/Omission by Other Regulators [Yes/No],"Indicates whether any other federal regulatory agency, state regulatory agency, or foreign financial regulatory authority has found the adviser or any advisory affiliate to have made a false statement or omission, or been dishonest, unfair, or unethical."
Form ADV,Item 11,11.D(2),ever found you or any advisory affiliate to have been involved in a violation of investment-related regulations or statutes?,Checkbox,Violation of Other Regulators' Regulations [Yes/No],Indicates whether the adviser or any advisory affiliate has been found to be involved in a violation of investment-related regulations or statutes by other regulators.
Form ADV,Item 11,11.D(3),"ever found you or any advisory affiliate to have been a cause of an investment-related business having its authorization to do business denied, suspended, revoked, or restricted?",Checkbox,Cause of Business Denial by Other Regulators [Yes/No],"Indicates whether the adviser or any advisory affiliate has been a cause of an investment-related business having its authorization to do business denied, suspended, revoked, or restricted by other regulators."
Form ADV,Item 11,11.D(4),"in the past ten years, entered an order against you or any advisory affiliate in connection with an investment-related activity?",Checkbox,Order by Other Regulators [Yes/No],"Indicates whether, in the past ten years, any other regulator has entered an order against the adviser or any advisory affiliate in connection with an investment-related activity."
Form ADV,Item 11,11.D(5),"ever denied, suspended, or revoked your or any advisory affiliate's registration or license, or otherwise prevented you or any advisory affiliate, by order, from associating with an investment-related business or restricted your or any advisory affiliate's activity?",Checkbox,Registration Denial/Suspension by Other Regulators [Yes/No],"Indicates whether any other regulator has denied, suspended, or revoked the adviser's or any advisory affiliate's registration or license, or otherwise prevented them from associating with an investment-related business or restricted their activity."
Form ADV,Item 11,11.E,Has any self-regulatory organization or commodities exchange ever:,,,
Form ADV,Item 11,11.E(1),found you or any advisory affiliate to have made a false statement or omission?,Checkbox,Found False Statement/Omission by SRO/Exchange [Yes/No],Indicates whether any self-regulatory organization or commodities exchange has found the adviser or any advisory affiliate to have made a false statement or omission.
Form ADV,Item 11,11.E(2),found you or any advisory affiliate to have been involved in a violation of its rules (other than a violation designated as a 'minor rule violation' under a plan approved by the SEC)?,Checkbox,Violation of SRO/Exchange Rules [Yes/No],Indicates whether the adviser or any advisory affiliate has been found to be involved in a violation of rules by a self-regulatory organization or commodities exchange.
Form ADV,Item 11,11.E(3),"found you or any advisory affiliate to have been the cause of an investment-related business having its authorization to do business denied, suspended, revoked, or restricted?",Checkbox,Cause of Business Denial by SRO/Exchange [Yes/No],"Indicates whether the adviser or any advisory affiliate has been the cause of an investment-related business having its authorization to do business denied, suspended, revoked, or restricted by an SRO/commodities exchange."
Form ADV,Item 11,11.E(4),"disciplined you or any advisory affiliate by expelling or suspending you or the advisory affiliate from membership, barring or suspending you or the advisory affiliate from association with other members, or otherwise restricting your or the advisory affiliate's activities?",Checkbox,Discipline by SRO/Exchange [Yes/No],"Indicates whether any self-regulatory organization or commodities exchange has disciplined the adviser or any advisory affiliate by expelling, suspending, barring association, or otherwise restricting activities."
Form ADV,Item 11,11.F,"Has an authorization to act as an attorney, accountant, or federal contractor granted to you or any advisory affiliate ever been revoked or suspended?",Checkbox,Revocation/Suspension of Authorizations [Yes/No],"Indicates whether an authorization to act as an attorney, accountant, or federal contractor granted to the adviser or any advisory affiliate has ever been revoked or suspended."
Form ADV,Item 11,11.G,"Are you or any advisory affiliate now the subject of any regulatory proceeding that could result in a 'yes' answer to any part of Item 11.C., 11.D., or 11.E.?",Checkbox,Ongoing Regulatory Proceeding [Yes/No],"Indicates whether the adviser or any advisory affiliate is currently the subject of any regulatory proceeding that could result in a 'yes' answer to any part of Items 11.C., 11.D., or 11.E."
Form ADV,Item 11,11.H,"For 'yes' answers to the following questions, complete a Civil Judicial Action DRP:",,,
Form ADV,Item 11,11.H(1)(a),"(a) ""Has any domestic or foreign court: in the past ten years enjoined you or any advisory affiliate in connection with any investment-related activity?""",Checkbox,Civil Injunction in Last 10 Years [Yes/No],Indicates whether any domestic or foreign court has enjoined the adviser or any advisory affiliate in connection with any investment-related activity in the past ten years.
Form ADV,Item 11,11.H(1)(b),ever found that you or any advisory affiliate were involved in a violation of investment-related statutes or regulations?,Checkbox,Found Violation of Investment-Related Statutes/Regulations [Yes/No],Indicates whether any domestic or foreign court has found the adviser or any advisory affiliate was involved in a violation of investment-related statutes or regulations.
Form ADV,Item 11,11.H(1)(c),"ever dismissed, pursuant to a settlement agreement, an investment-related civil action brought against you or any advisory affiliate by a state or foreign financial regulatory authority?",Checkbox,Settlement Dismissal [Yes/No],"Indicates whether any domestic or foreign court has dismissed, pursuant to a settlement agreement, an investment-related civil action against the adviser or any advisory affiliate."
Form ADV,Item 11,11.H(2),Are you or any advisory affiliate now the subject of any civil proceeding that could result in a 'yes' answer to any part of Item 11.H.(1)?,Checkbox,Ongoing Civil Proceeding [Yes/No],Indicates whether the adviser or any advisory affiliate is now the subject of any civil proceeding that could result in a 'yes' answer to any part of Item 11.H.(1).
Form ADV,Item 12,12,"The SEC is required by the Regulatory Flexibility Act to consider the effect of its regulations on small entities. In order to do this, we need to determine whether you meet the definition of 'small business' or 'small organization' under rule 0-7.",Checkbox,Regulation Flexibility Act Compliance [Yes/No],Indicates whether the adviser needs to provide information to determine compliance with the Regulatory Flexibility Act.
Form ADV,Item 12,12.Detail1,"Answer this Item 12 only if you are registered or registering with the SEC and you indicated in response to Item 5.F.(2)(c) that you have regulatory assets under management of less than $25 million. You are not required to answer this Item 12 if you are filing for initial registration as a state adviser, amending a current state registration, or switching from SEC to state registration.",Instruction Text,Answer Item 12 Requirement [Yes/No],Indicates whether the adviser is required to answer Item 12 based on the criteria specified.
Form ADV,Item 12,12.Definition1,"For purposes of this Item 12 only: 'Total Assets refers to the total assets of a firm, rather than the assets managed on behalf of clients. In determining your or another person's total assets, you may use the total assets shown on a current balance sheet (but use total assets reported on a consolidated balance sheet with subsidiaries included, if that amount is larger).'",,Total Assets Definition,Definition of total assets for the purpose of responding to Item 12.
Form ADV,Item 12,12.Definition2,"'Control means the power to direct or cause the direction of the management or policies of a person, whether through ownership of securities, by contract, or otherwise. Any person that directly or indirectly has the right to vote 25 percent or more of the voting securities, or is entitled to 25 percent or more of the profits, of another person is presumed to control the other person.'",,Control Definition,Definition of control for the purpose of responding to Item 12.
Form ADV,Item 12,12.A,Did you have total assets of $5 million or more on the last day of your most recent fiscal year? (Yes/No),Checkbox,Total Assets ≥ $5 Million [Yes/No],Indicates whether the adviser had total assets of $5 million or more on the last day of the most recent fiscal year.
Form ADV,Item 12,12.A.Detail,"If 'yes,' you do not need to answer Items 12.B. and 12.C.",Instruction Text,Skip Items 12.B. and 12.C. [Yes/No],Indicates that no response is needed for Items 12.B. and 12.C. if Item 12.A is answered 'yes.'
Form ADV,Item 12,12.B(1),Do you: control another investment adviser that had regulatory assets under management (calculated in response to Item 5.F.(2)(c) of Form ADV) of $25 million or more on the last day of its most recent fiscal year?,Checkbox,Control Investment Adviser with ≥$25M RAUM [Yes/No],Indicates whether the adviser controls another investment adviser with regulatory assets under management of $25 million or more on the last day of the most recent fiscal year.
Form ADV,Item 12,12.B(2),Do you: control another person (other than a natural person) that had total assets of $5 million or more on the last day of its most recent fiscal year?,Checkbox,Control Entity with ≥$5M Total Assets [Yes/No],Indicates whether the adviser controls another entity (other than a natural person) that had total assets of $5 million or more on the last day of its most recent fiscal year.
Form ADV,Item 12,12.C(1),Are you: controlled by or under common control with another investment adviser that had regulatory assets under management (calculated in response to Item 5.F.(2)(c) of Form ADV) of $25 million or more on the last day of its most recent fiscal year?,Checkbox,Controlled by IA with ≥$25M RAUM [Yes/No],Indicates whether the adviser is controlled by or under common control with another investment adviser that had regulatory assets under management of $25 million or more on the last day of its most recent fiscal year.
Form ADV,Item 12,12.C(2),Are you: controlled by or under common control with another person (other than a natural person) that had total assets of $5 million or more on the last day of its most recent fiscal year?,Checkbox,Controlled by Entity with ≥$5M Total Assets [Yes/No],Indicates whether the adviser is controlled by or under common control with another entity (other than a natural person) that had total assets of $5 million or more on the last day of its most recent fiscal year.
